repo_name,ref,path,mode,id,symlink_target
zurawiki/kamikaze,refs/heads/master,wp-content/plugins/wpide/ace-0.2.0/kitchen-sink/docs/OpenSCAD.scad,33188,a45c1aec619c5d98a217cd15c8759a58c62144a0,
wyolum/uControl_v3,refs/heads/master,KiCAD/scad/BBB.scad,33188,305705e6aaa314e10f428c494d0868116ff14d78,
wyolum/uControl_v3,refs/heads/master,KiCAD/scad/flow_meter.scad,33188,df09cb447921cfc6fa494e72b08d3b0ba32219f6,
wyolum/uControl_v3,refs/heads/master,KiCAD/scad/manifold_parts.scad,33188,cde296b5951179cbe63b0ebf0cb385a6d221edf0,
wyolum/uControl_v3,refs/heads/master,KiCAD/scad/uControl_v3_keepout.scad,33188,78dd5bb87d30362026b99fdb32cfd981abdf95f2,
wyolum/uControl_v3,refs/heads/master,fabricate/plunger_holder.scad,33188,1535b400071dcb5769db2630fe84505ff5dceb31,
wyolum/uControl_v3,refs/heads/master,fabricate/spring_catch.scad,33188,c499ce2837605227e4db289cbebda2d4177b2cab,
yzhan018/the-day-after-tomorrow,refs/heads/master,logo/logo.scad,33188,6f7151a0707e52632b90ae6b061b35ab86c28a6b,
yangbo/Prusa3,refs/heads/master,box_frame/bushing.scad,33188,8cb3700ac31eb51fb9324cec3445b112a0f53f81,
yangbo/Prusa3,refs/heads/master,box_frame/doc/boxframe.scad,33188,f9e47a877d14747ce6a690faffbd5002d642cbab,
yangbo/Prusa3,refs/heads/master,box_frame/doc/complete-printer-plus.scad,33188,4c33aef722b5057dbc8160dfbeb6df0f490a25d6,
yangbo/Prusa3,refs/heads/master,box_frame/doc/complete-printer.scad,33188,3466055e39b8febad34eae02e67f21f336d29092,
yangbo/Prusa3,refs/heads/master,box_frame/extras/bearing-holder-single-plate-y.scad,33188,a06b8bee0a0a161d5c211d6dfbaee1d874c1aa51,
yangbo/Prusa3,refs/heads/master,box_frame/extras/calibrate.scad,33188,13456efa1a1111ef4521ce5c4db7791452010eb5,
yangbo/Prusa3,refs/heads/master,box_frame/extras/endstop-holder-extra.scad,33188,cfe66c94e7f0ae58eefcde15c658d383710a0a57,
yangbo/Prusa3,refs/heads/master,box_frame/extras/endstop-holder.scad,33188,1c0a1b290dfa8fd55974f27ba3fb39555afec1c3,
yangbo/Prusa3,refs/heads/master,box_frame/extras/foldingclamp.scad,33188,4d7d6debe1a55b331c49ac4fba2cb8c9f963d9c6,
yangbo/Prusa3,refs/heads/master,box_frame/extras/gregs-wade-v3.scad,33188,984654e7308ea7cbca692b41c79b3129b8e2e83f,
yangbo/Prusa3,refs/heads/master,box_frame/extras/groovemount.scad,33188,3525aac097dafee61f974252c537b78d3cba8cce,
yangbo/Prusa3,refs/heads/master,box_frame/extras/inc/parametric_involute_gear_v5.0.scad,33188,2756628cf1b7b467b7368a0589570fed22bcc7e4,
yangbo/Prusa3,refs/heads/master,box_frame/extras/tube_clamp.scad,33188,2a6d65a09fd45956eacd54709f778bad03b496d3,
yangbo/Prusa3,refs/heads/master,box_frame/extras/wade-gears.scad,33188,0935d8b50dd0ade7c8e9b6e566fb2caab8252eef,
yangbo/Prusa3,refs/heads/master,box_frame/inc/bearing-guide.scad,33188,3bdb86e11bfc1c4bc985bd71f87776b9d2832289,
yangbo/Prusa3,refs/heads/master,box_frame/inc/conf_bushing.scad,33188,b2c58bfd1798339548befd862181f490ef5e06eb,
yangbo/Prusa3,refs/heads/master,box_frame/inc/functions.scad,33188,bdf217fbd216bc27b4df669810c18654c857cc8c,
yangbo/Prusa3,refs/heads/master,box_frame/inc/metric.scad,33188,5949950a08b058f58bf210cbef891cf679765d1a,
yangbo/Prusa3,refs/heads/master,box_frame/inc/settings.scad,33188,dbf17978a524c479e6e662c48f991203404636f6,
yangbo/Prusa3,refs/heads/master,box_frame/sample_stls/big_htd3_lm12luu/configuration.scad,33188,fb3641c98adc644b0ac005aa09e1f7d823e15133,
